ImageNumber,Total_Nucleus,Total_Centriole,Total_Cilia,Matched_Nuc_Cent1,Matched_Nuc_Cent1_Cent2,Matched_Nuc_Cent1_Cent2_Cil,Matched_Nuc_Cent1_Cil,Matched_Nuc_Cil
1,344,238,504,0,0,4,36,304
2,339,318,422,0,0,9,68,262
3,406,302,509,0,0,6,52,348
4,394,315,450,0,0,8,51,335
5,487,263,486,0,0,4,69,413
6,380,283,580,0,0,7,43,330
7,251,307,527,0,0,4,30,217
8,241,186,244,0,0,1,22,218
9,260,242,275,0,0,1,31,228
10,245,210,278,0,0,1,25,219
11,216,167,240,0,0,4,13,199
12,268,277,187,8,0,5,14,168
13,357,174,293,1,0,1,8,284
14,238,272,212,1,2,6,26,180
15,213,716,283,0,0,14,34,165
16,247,258,275,0,0,7,20,220
17,277,290,264,0,0,9,25,230
18,246,201,248,0,0,3,24,219
19,262,220,286,0,0,8,16,238
20,175,266,305,0,0,4,28,143
21,260,204,207,5,2,4,28,175
22,210,297,285,0,0,13,29,168
23,228,198,193,3,1,3,12,178
24,191,316,296,0,0,2,29,160
25,338,323,227,15,3,4,28,195